##n,orderinfo,name,comment,z,x,y, pixmax,intensity,sdev,volsize,mass,,,, color_r,color_g,color_b
0, , ,, 54.000,263.000,61.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 56.000,190.000,69.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 55.000,213.000,71.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 51.000,1157.000,78.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 54.000,1173.000,83.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 53.000,1224.000,102.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 56.000,1073.000,97.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 53.000,1067.000,114.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 50.000,1248.000,54.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 54.000,1081.000,60.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 56.000,220.000,82.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 51.000,1351.000,91.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 62.000,742.000,99.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 55.000,1203.000,102.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 54.000,1297.000,40.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 54.000,1431.000,42.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 52.000,1454.000,43.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 54.000,1482.000,44.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 58.000,330.000,55.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 53.000,1327.000,58.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
0, , ,, 65.000,444.000,59.000, 0.000,0.000,0.000,0.000,0.000,,,,255,255,255
